algo,mp,width,height,k,iters,reps,median_ms,min_ms,ns_per_px_iter
kmeans,1,1024,1024,4,10,3,91.1,88.3,8.68
kmeans,1,1024,1024,8,10,3,168.7,168.0,16.09
kmeans,1,1024,1024,16,10,3,414.2,414.0,39.50
pfcm,1,1024,1024,4,10,3,4868.2,4772.2,464.27
pfcm,1,1024,1024,8,10,1,14704.0,14704.0,1402.28
pfcm,1,1024,1024,16,10,1,46303.6,46303.6,4415.86
kmeans,4,2048,2048,4,10,3,385.1,378.2,9.18
kmeans,4,2048,2048,8,10,3,712.0,711.0,16.97
kmeans,4,2048,2048,16,10,3,1731.9,1725.6,41.29
pfcm,4,2048,2048,4,10,1,19639.8,19639.8,468.25
pfcm,4,2048,2048,8,10,1,55502.8,55502.8,1323.29
pfcm,4,2048,2048,16,10,1,180345.0,180345.0,4299.76
kmeans,16,4096,4096,4,10,3,1574.0,1574.0,9.38
kmeans,16,4096,4096,8,10,3,2833.6,2833.5,16.89
kmeans,16,4096,4096,16,10,2,6819.6,6790.9,40.65
pfcm,16,4096,4096,4,10,1,79194.1,79194.1,472.03
pfcm,16,4096,4096,8,10,1,221594.0,221594.0,1320.81
pfcm,16,4096,4096,16,10,1,713401.0,713401.0,4252.20
