algo,threads,mp,width,height,k,iters,reps,median_ms,min_ms,ns_per_px_iter,cycles_per_px_iter,instr_per_px_iter,ipc,l1d_mpki,branch_mpki
kmeans,1,1,1024,1024,4,10,3,88.9,87.3,8.48,33.9,137.4,4.056,2.68,0.212
kmeans,1,1,1024,1024,8,10,3,175.5,173.6,16.73,67.8,272.6,4.022,1.85,0.141
kmeans,1,1,1024,1024,16,10,3,441.0,439.1,42.06,172.2,654.0,3.798,1.22,0.060
kmeans,1,4,2048,2048,4,10,3,379.6,378.2,9.05,34.1,137.4,4.030,2.68,0.132
kmeans,1,4,2048,2048,8,10,3,752.0,729.2,17.93,68.0,272.6,4.007,1.85,0.111
kmeans,1,4,2048,2048,16,10,3,1837.1,1832.1,43.80,169.8,654.0,3.852,1.21,0.047
kmeans,1,16,4096,4096,4,10,3,1708.4,1692.1,10.18,35.8,137.4,3.839,2.68,0.326
kmeans,1,16,4096,4096,8,10,3,3166.3,3153.4,18.87,68.2,272.6,3.998,1.85,0.132
kmeans,1,16,4096,4096,16,10,2,7608.2,7570.3,45.35,168.8,654.0,3.874,1.21,0.036
pfcm,1,1,1024,1024,4,10,3,4956.5,4880.8,472.69,1880.9,5525.5,2.938,0.63,0.001
pfcm,1,1,1024,1024,8,10,1,14533.5,14533.5,1386.02,5464.6,16057.5,2.938,0.63,0.001
pfcm,1,1,1024,1024,16,10,1,49955.9,49955.9,4764.17,18061.7,52376.1,2.900,0.56,0.002
pfcm,1,4,2048,2048,4,10,1,21142.0,21142.0,504.07,1899.5,5525.5,2.909,1.32,0.001
pfcm,1,4,2048,2048,8,10,1,61015.6,61015.6,1454.73,5498.9,16057.5,2.920,0.41,0.002
pfcm,1,4,2048,2048,16,10,1,196714.4,196714.4,4690.04,17914.4,52376.0,2.924,0.26,0.001
