algo,threads,mp,width,height,k,iters,reps,median_ms,min_ms,ns_per_px_iter
kmeans,1,1,1024,1024,4,10,3,87.6,84.3,8.36
kmeans,1,1,1024,1024,8,10,3,162.3,161.7,15.48
kmeans,1,1,1024,1024,16,10,3,399.6,399.1,38.11
pfcm,1,1,1024,1024,4,10,3,4595.5,4554.1,438.26
pfcm,1,1,1024,1024,8,10,1,13541.3,13541.3,1291.40
pfcm,1,1,1024,1024,16,10,1,45152.5,45152.5,4306.08
kmeans,1,4,2048,2048,4,10,3,370.3,364.0,8.83
kmeans,1,4,2048,2048,8,10,3,710.3,709.2,16.94
kmeans,1,4,2048,2048,16,10,3,1726.1,1725.9,41.15
pfcm,1,4,2048,2048,4,10,1,19243.2,19243.2,458.79
pfcm,1,4,2048,2048,8,10,1,55470.0,55470.0,1322.51
pfcm,1,4,2048,2048,16,10,1,180438.9,180438.9,4302.00
kmeans,1,16,4096,4096,4,10,3,1544.7,1543.4,9.21
kmeans,1,16,4096,4096,8,10,3,2873.9,2868.7,17.13
kmeans,1,16,4096,4096,16,10,2,6969.0,6939.6,41.54
pfcm,1,16,4096,4096,4,10,1,77046.6,77046.6,459.23
pfcm,1,16,4096,4096,8,10,1,221989.6,221989.6,1323.16
pfcm,1,16,4096,4096,16,10,1,721034.9,721034.9,4297.70
kmeans,2,1,1024,1024,4,10,3,51.1,48.3,4.87
kmeans,2,1,1024,1024,8,10,3,94.6,94.2,9.02
kmeans,2,1,1024,1024,16,10,3,229.5,229.2,21.89
pfcm,2,1,1024,1024,4,10,3,2523.4,2507.7,240.65
pfcm,2,1,1024,1024,8,10,2,7363.0,7353.2,702.19
pfcm,2,1,1024,1024,16,10,1,24202.9,24202.9,2308.16
kmeans,2,4,2048,2048,4,10,3,224.7,218.2,5.36
kmeans,2,4,2048,2048,8,10,3,411.8,409.9,9.82
kmeans,2,4,2048,2048,16,10,3,987.6,987.4,23.55
pfcm,2,4,2048,2048,4,10,1,10401.1,10401.1,247.98
pfcm,2,4,2048,2048,8,10,1,29932.8,29932.8,713.65
pfcm,2,4,2048,2048,16,10,1,97287.3,97287.3,2319.51
kmeans,2,16,4096,4096,4,10,3,920.5,918.6,5.49
kmeans,2,16,4096,4096,8,10,3,1661.6,1657.8,9.90
kmeans,2,16,4096,4096,16,10,3,3922.2,3917.4,23.38
pfcm,2,16,4096,4096,4,10,1,41162.1,41162.1,245.35
pfcm,2,16,4096,4096,8,10,1,118911.8,118911.8,708.77
pfcm,2,16,4096,4096,16,10,1,386518.2,386518.2,2303.83
kmeans,4,1,1024,1024,4,10,3,31.7,28.9,3.02
kmeans,4,1,1024,1024,8,10,3,56.5,55.9,5.38
kmeans,4,1,1024,1024,16,10,3,137.1,137.0,13.08
pfcm,4,1,1024,1024,4,10,3,1434.6,1425.4,136.81
pfcm,4,1,1024,1024,8,10,3,4205.4,4169.1,401.06
pfcm,4,1,1024,1024,16,10,1,13942.5,13942.5,1329.67
kmeans,4,4,2048,2048,4,10,3,145.3,140.5,3.47
kmeans,4,4,2048,2048,8,10,3,259.4,259.1,6.18
kmeans,4,4,2048,2048,16,10,3,606.7,602.9,14.46
pfcm,4,4,2048,2048,4,10,2,6041.3,6038.7,144.03
pfcm,4,4,2048,2048,8,10,1,17183.2,17183.2,409.68
pfcm,4,4,2048,2048,16,10,1,55829.8,55829.8,1331.09
kmeans,4,16,4096,4096,4,10,3,604.8,602.4,3.60
kmeans,4,16,4096,4096,8,10,3,1064.4,1062.7,6.34
kmeans,4,16,4096,4096,16,10,3,2436.9,2433.8,14.52
pfcm,4,16,4096,4096,4,10,1,24197.0,24197.0,144.23
pfcm,4,16,4096,4096,8,10,1,65692.1,65692.1,391.56
pfcm,4,16,4096,4096,16,10,1,236985.0,236985.0,1412.54
kmeans,8,1,1024,1024,4,10,3,31.6,28.9,3.01
kmeans,8,1,1024,1024,8,10,3,58.1,57.7,5.54
kmeans,8,1,1024,1024,16,10,3,144.1,143.7,13.74
pfcm,8,1,1024,1024,4,10,3,1205.2,1202.1,114.94
pfcm,8,1,1024,1024,8,10,3,3302.8,3291.0,314.98
pfcm,8,1,1024,1024,16,10,1,10432.7,10432.7,994.94
kmeans,8,4,2048,2048,4,10,3,142.2,140.0,3.39
kmeans,8,4,2048,2048,8,10,3,260.6,254.3,6.21
kmeans,8,4,2048,2048,16,10,3,597.2,586.8,14.24
pfcm,8,4,2048,2048,4,10,3,4722.5,4709.3,112.59
pfcm,8,4,2048,2048,8,10,1,13070.4,13070.4,311.62
pfcm,8,4,2048,2048,16,10,1,41514.7,41514.7,989.79
kmeans,8,16,4096,4096,4,10,3,572.0,569.2,3.41
kmeans,8,16,4096,4096,8,10,3,993.2,974.2,5.92
kmeans,8,16,4096,4096,16,10,3,2125.9,2123.1,12.67
pfcm,8,16,4096,4096,4,10,1,18082.2,18082.2,107.78
pfcm,8,16,4096,4096,8,10,1,52431.2,52431.2,312.51
pfcm,8,16,4096,4096,16,10,1,168513.3,168513.3,1004.42
kmeans,12,1,1024,1024,4,10,3,26.0,22.6,2.48
kmeans,12,1,1024,1024,8,10,3,46.5,45.8,4.44
kmeans,12,1,1024,1024,16,10,3,114.5,113.9,10.92
pfcm,12,1,1024,1024,4,10,3,1112.7,1109.6,106.11
pfcm,12,1,1024,1024,8,10,3,3144.0,3030.1,299.84
pfcm,12,1,1024,1024,16,10,1,10019.4,10019.4,955.53
kmeans,12,4,2048,2048,4,10,3,124.2,121.8,2.96
kmeans,12,4,2048,2048,8,10,3,218.5,216.8,5.21
kmeans,12,4,2048,2048,16,10,3,543.4,508.6,12.95
pfcm,12,4,2048,2048,4,10,3,4680.3,4397.6,111.59
pfcm,12,4,2048,2048,8,10,1,12900.8,12900.8,307.58
pfcm,12,4,2048,2048,16,10,1,41059.8,41059.8,978.94
kmeans,12,16,4096,4096,4,10,3,529.3,524.3,3.15
kmeans,12,16,4096,4096,8,10,3,948.4,920.0,5.65
kmeans,12,16,4096,4096,16,10,3,2128.7,2109.8,12.69
pfcm,12,16,4096,4096,4,10,1,17234.7,17234.7,102.73
pfcm,12,16,4096,4096,8,10,1,48530.0,48530.0,289.26
pfcm,12,16,4096,4096,16,10,1,151814.7,151814.7,904.89
